,brands,basics_brand,popular_brand,upper_pop_brand,intermediary_brand,luxury_brand
55,gymshark,bubblegum,london times,profile by gottex,lanvin,
56,express,loveappella,mayoral,beyond yoga,reeds jewelers,
57,marc jacobs,simply irresistible,french laundry,allegra k,apple,
58,liz lange,red camel,nollie,enzo angiolini,boys + arrows,
59,born,lela rose,quacker factory,infinity,mz wallace,
60,ivory ella,delia's,bailey 44,elizabeth and james,maggie sottero,
61,nfl,tribest,bcbg,catherine catherine malandrino,jeffrey campbell,
62,hello kitty,takeout,hula honey,gorjana,oliver peoples,
63,charlotte russe,nobo,divided,woolrich,givenchy,
64,white house black market,wrapper,ruby rox,tahari,invicta watch group,
65,puma,lilyette,bass,andrew marc,scala,
66,disney,jollychic.com,wrangler,maaji,alexis brittar,
67,converse,susan bristol,angie,seiko,rachel pally,
68,patagonia,olian,jamie sadock,aritzia,show me your mumu,
69,columbia,erika,vanilla star,burton,van cleef & arpels,
70,burberry,happy socks,basic editions,equipment,carolina herrera,
71,j. crew,sans souci,christopher & banks,l*space,invicta,
72,fox,earth’s nectar,primark,ring,kenzo,
73,xoxo,rhapsody,newport news,hallmark,mackintosh,
74,dooney & bourke,cheetah,xxi,vibram,stuart weitzman,
75,nordstrom,ten sixty sherman,triumph,b.swim,bates,
76,juicy couture,chequer,susan graver,jag,3.1 phillip lim,
77,volcom,edge,kut from the kloth,sbicca,boss hugo boss,
78,vera bradley,valerie stevens,alfani,papillon,for love and lemons,
79,new york & company,elf,avia,tom ford,roberto cavalli,
80,wet seal,the estée edit,hue,bench,derek lam,
81,affliction,body & hair,michael stars,honey punch,miu miu,
82,la idol,generic,love culture,supreme,revo,
83,stamped,norton mcnaughton,soda,mara hoffman,blanknyc,
84,asics,thebalm,joe benbasset,sabo skirt,corral,
85,louis vuitton,fender,jacqueline ferrar,free country,tumi,
86,bebe,victoria jones,fashion to figure,pendleton,yohji yamamoto,
87,vintage,foster grant,lesportsac,preston & york,liebeskind,
88,gucci,top of the world,star wars,josie natori,acne jeans,
89,lilly pulitzer,wesc,rewind,theory,botkier,
90,ralph lauren,rebel yell,motel,rei,herve leger,
91,mossimo,malibu,tek gear,salomon,comme des garcons,
92,christian louboutin,classic elements,not rated,love moschino,céline,
93,almost famous,sandra ingrish,premier designs,mural,dsquared,
94,cartier,reference point,coldwater creek,danny & nicole,clarisonic,
95,geneva,cabin creek,anne cole,kork-ease,alyce paris,
96,gap,spencer's,lucca couture,moschino,giuseppe zanotti,
97,alex and ani,anxiety,tart,mamia,cleobella,
98,chanel,essie,kimchi blue,rip curl,rolex,
99,maurices,villager,90 degree by reflex,taryn rose,green apple,
100,kenneth cole new york,jonathan martin,fubu,laundry by shelli segal,emilio pucci,
101,vans,ralph lauren black label,eyeshadow,medela,mulberry,
102,ambiance apparel,zoo york,naked zebra,helly hansen,issey miyake,
103,ymi,arcona,electric family,luli fama,robert friedman,
104,gilly hicks,fly london,element,trouve,dave & johnny,
105,lokai,evisu,spense,escada,lifeproof,
106,rock & republic,flamingo,harajuku lovers,olukai,rioni,
107,lucky brand,augusta sportswear,only hearts,citizens of humanity,lulu,
108,jeffery campbell,wallis,madden girl,wolford,rihanna,
109,derek heart,sugoi,george simonton,fiesta,ml monique lhuillier,
110,abercrombie & fitch,tildon,venezia,trina turk,charlotte olympia,
111,kendall & kylie,neff headwear,browning,joie,maje,
112,francesca's collections,petite sophisticate,kyodan,naughty monkey,blackmilk,
113,claire's,bonworth,heart soul,kasper,alfred angelo,
114,hunter,neff,caslon,french connection,k&n engineering,
115,toms,coed sportwear,la senza,justice,coulbourne,
116,papaya,carefree,vivienne vivienne tam,reign,mansur gavriel,
117,reebok,royal apparel,sephora collection,spyder,lovers + friends,
118,zara,k. bell,bella dahl,club monaco,vivienne westwood,
119,mudd,add down,route,mar y sol,tiffany designs,
120,loft,bejeweled,belly bandit®,beach riot,joseph ribkoff,
121,inc,dale of norway,us polo assn,liliana,tularosa,
122,xhilaration,buxton leather goods,pro keds,level,gypsy 05,
123,decree,merle norman cosmetics,antik denim,stüssy,mikimoto,
124,talbots,a.b.s. by allen schwartz,bandolino,foot locker,aidan mattox,
125,champion,monterey club,covington,sjp by sarah jessica parker,bed stu,
126,timberland,district threads,dots,g-shock,royal robbins,
127,bcbgmaxazria,essentials,chaus,bettie page,blush,
128,birkenstock,seychelles,cheap monday,etienne aigner,zadig & voltaire,
129,sperry,max azria,alex marie,roberta,lulu townsend,
130,athleta,the balm,twenty one,perry ellis,sas safety corp.,
131,buckle,mv sport,glo jeans,yumi kim,lamarque,
132,daytrip,salt works,just my size,superdry,sean collection,
133,skechers,fashion forms,ideology,landau,la femme,
134,lf,tresics,saucony,junk food clothing,hamilton,
135,aldo,mag-float,report signature,minimale animale,bloomingdale's,
136,a.n.a,ultra pro,monoreno,james perse,shoshanna,
137,croft & barrow,timex,olga,xscape,j kara,
138,candie's,seeyou,snap,calia by carrie underwood,ogio®,
139,o'neill,j g hook,nygard,johnny was,sorrelli,
140,celine,marshall,maidenform,pinkblush,isabella oliver,
141,brooks,ikea,relic,fabrizio gianni,lazy oaf,
142,james avery,scunci,panache,mycra pac designer wear,oleg cassini,
143,david yurman,hanes,iron fist,tarina tarantino,lulu frost,
144,brighton,ripple junction,nine & co.,b. darlin,calypso st. barth,
145,justin,polly & esther,boho chic,becca,creed,
146,ray-ban,hde,leslie fay,context,cw-x,
147,delia*s,,clinique,diesel,helmut lang,
148,jovani,,tyte jeans,chrome hearts,rockport,
149,rebecca minkoff,,frederick's of hollywood,adrienne landau,barefoot dreams,
150,roxy,,halogen,st. john,movado,
151,american apparel,,rogue status,seafolly,faithfull the brand,
152,taylor,,laura ashley,maeve,giacca,
153,the limited,,a&e,koh koh,joules,
154,dr. martens,,earl jean,robert rodriguez,tiare hawaii,
155,la hearts,,hard tail,gh,keepsake the label,
156,nasty gal,,tbags los angeles,morgan,mackage,
157,oakley,,tilly's,baker by ted baker,opening ceremony,
158,triangl,,dogeared,laredo,steven by steve madden,
159,nine west,,threads  thought,me too,funko,
160,stella & dot,,bernie mev.,js collections,elevenses,
161,ariat,,poetry,judith march,john hardy,
162,joe's jeans,,yellow box,morgan & co.,b-low the belt,
163,7 for all mankind®,,zenana outfitters,young fabulous & broke,flynn skye,
164,bongo,,flexees,athena,notify,
165,cacique,,roaman's,lucien piccard,lucchese,
166,dansko,,olive & oak,altra,indah,
167,worthington,,speechless,everly grey,g-iii,
168,new balance,,notations,"patagonia, inc.",jenny yoo,
169,danskin,,jodi kristopher,agua bendita,tony lama,
170,lane bryant,,sequin hearts,mother,halston,
171,alo,,peugeot,la blanca,brazilroxx,
172,american rag,,tapout,cachet,hoka one,
173,tobi,,white stag,onzie,mac,
174,boohoo,,rocawear,roper,jen's pirate booty,
175,sanuk,,sparkle & fade,mix nouveau,magnolia,
176,unif,,cuddl duds,lk bennett,leota,
177,prada,,fashion bug,ever-pretty,dessy collection,
178,valentino,,shoe dazzle,minkpink,frame denim,
179,big star,,adrienne vittadini,robin piccone,maison goyard,
180,rag & bone,,havaianas,easel,zimmerman,
181,dressbarn,,mango,cutter & buck,matt bernson,
182,sam edelman,,active,current/elliott,swedish hasbeens,
183,longchamp,,marika,donna morgan,yigal azrouel,
184,saint laurent,,yelete,citizens of humanity jeans,motorola consumer radios,
185,arizona,,timing,charles david,silhouettes,
186,chaco,,buff,a&r sports,mcguire denim,
187,chaps,,christian siriano,b darlin,tadashi shoji,
188,fendi,,big buddha,lisa maree,galaxy,
189,lands' end,,chaser,marc new york,stephen webster,
190,ed hardy,,ecko red,waterpik,bulova,
191,quay australia,,kensie,corso como,cassandra stone,
192,frye,,kathy van zeeland,lily rose,anderson bean,
193,speedo,,rainbow shops,ted baker,raven denim,
194,zella,,red rivet jeans,glamorise,eshakti,
195,dkny,,tag jeans,via spiga,all saints,
196,material girl,,jordache,may queen,shane company,
197,bcbgeneration,,cruel girl,it figures,longines,
198,anne klein,,boden,night moves,tag heuer,
199,catalina,,new look,sl fashions,mac & jac,
200,tilt,,bebop,cambridge satchel,saga,
201,unionbay,,betty boop,crazy horse,irobot,
202,gildan,,hot sox,adam,charles klein,
203,modcloth,,urban expressions,betsy & adam,margarita,
204,dickies,,isaac mizrahi,halo,niteline,
205,ted baker london,,carole little,harve benard,illesteva,
206,avenue,,nydj,marc fisher,allure,
207,jack rogers,,estee lauder,robin's jeans,,
208,madewell,,say what?,omega,,
209,chinese laundry,,lucky brand jeans,alice & trixie,,
210,pacific sunwear,,naturalizer,patrizia pepe,,
211,fila,,cabela's,t tahari,,
212,paige,,prana,rothco,,
213,billabong,,american rebel boot company,kickee pants,,
214,cabi,,sean john,ingrid & isabel,,
215,kiplling,,moving comfort,tretorn,,
216,jimmy choo,,majestic,mopas,,
217,gilligan & o'malley,,bella,sole society,,
218,zumba,,hush puppies,pelle,,
219,jordans,,my michelle,a.testoni,,
220,bke,,self esteem,a.p.c.,,
221,charming charlie,,bally,tous,,
222,cotton on,,silence + noise,velvet,,
223,merrell,,maggie barnes,isabel marant,,
224,kay jewelers,,ellen tracy,peck & peck,,
225,jcpenney,,obey clothing,maui jim,,
226,l.l. bean,,eastern mountain sports,skagen,,
227,vigoss,,mia,house of harlow 1960,,
228,grace,,lip service,vertigo,,
229,jones new york,,esprit,max mara,,
230,hermes,,ripcurl,jump apparel,,
231,metal mulisha,,bay island,miss sixty,,
232,bullhead,,southpole,karl lagerfeld,,
233,dolce vita,,garnet hill,b. makowsky,,
234,fabletics,,next level apparel,ark & co,,
235,chico's,,cali,diadora,,
236,venus,,everlane,ujena,,
237,dolce & gabbana,,missoni,salvage,,
238,versace,,ronni nicole,vasque,,
239,rave,,bcx,luichiny,,
240,moda international,,vixen,y- by yohji yamamoto,,
241,lulu's,,london jeans,dl,,
242,simply vera vera wang,,taboo,vera pelle,,
243,eddie bauer,,pinky,elie tahari,,
244,armani,,madison,sky,,
245,mcm,,ya los angeles,soft joie,,
246,lacoste,,patra,lolli swim,,
247,frankie's bikinis,,one world,yummie by heather thomson,,
248,carhartt,,bernardo,milano,,
249,vanity,,rampage,parker,,
250,ferragamo,,elizabeth arden,vix,,
251,st. john's bay,,callaway,camper,,
252,studio,,jerzees,tinley road,,
253,a pea in the pod,,nba,eliza j,,
254,silpada,,halston heritage,zigi soho,,
255,dior,,jaclyn smith,vertigo paris,,
256,dollhouse,,dana buchman,gx by gwen stefani,,
257,spanx,,bcbgirls,billy reid,,
258,refuge,,cable & gauge,channel,,
259,l.e.i.,,chadwicks,wow couture,,
260,cato,,pure energy,georgia boot,,
261,younique,,swell,nix,,
262,bdg,,planet gold,forplay,,
263,chloe,,fergalicious,mika yoga wear,,
264,dc shoes,,zco.,miche,,
265,swarovski,,mixit,cynthia howie,,
266,beach bunny,,ninety,lafayette 148 new york,,
267,avon,,bobeau,arc'teryx,,
268,style&co.,,trixxi,alegro,,
269,david's bridal,,crossroads,david kahn,,
270,henri bendel,,"ulta salon, cosmetics & fragrance, inc.",velvet torch,,
271,cache,,kipling,joseph a,,
272,tokidoki,,xersion,black rivet,,
273,hydraulic,,jockey,kelsi dagger,,
274,franco sarto,,soma,onque casuals,,
275,luxury_brand,,a. byer,warehouse,,
276,,,reef,fjallraven,,
277,,,cello jeans,air force,,
278,,,cowgirl tuff,sonia kashuk,,
279,,,alex evenings,kooba,,
280,,,pikolinos,phat farm/baby phat,,
281,,,lauren conrad,christina,,
282,,,robbie bee,outdoor research,,
283,,,breckelles,liverpool jeans company,,
284,,,byer too,hippie rose,,
285,,,cb sports,tevolio,,
286,,,amazon essentials,members only,,
287,,,j.crew,rodan and fields,,
288,,,cynthia rowley,peaches,,
289,,,gianni bini,haute hippie,,
290,,,carlos santana,danier,,
291,,,5.11 tactical,linea pelle,,
292,,,boom boom,iman,,
293,,,deb,tigerlily,,
294,,,ashley stewart,chopard,,
295,,,elementz,hippie,,
296,,,a'gaci,air jordan,,
297,,,astr,josef seibel,,
298,,,empire,bogner,,
299,,,hot kiss,debbie morgan,,
300,,,carmen marc valvo,allegri,,
301,,,muse,kc collections,,
302,,,russell athletic,homedics,,
303,,,takara,alice & you,,
304,,,hurley,somedays lovin,,
305,,,hype,kiini,,
306,,,etcetera,velvet by graham & spencer,,
307,,,tignanello,rockies,,
308,,,rewash,525 america,,
309,,,mimi,infinity raine,,
310,,,r & m richards,iro,,
311,,,next,coral bay,,
312,,,smartwool,clean,,
313,,,nhl,christian audigier,,
314,,,just usa,jag jeans,,
315,,,esley,usaf,,
316,,,miss chic,marisa christina,,
317,,,sass & bide,colorado clothing,,
318,,,american living,hailey logan,,
319,,,next level,terry lewis,,
320,,,j. jill,finders keepers,,
321,,,chamilia,salt lake clothing,,
322,,,caribbean joe,letarte,,
323,,,ruff hewn,alia,,
324,,,ralph lauren collection,gentle souls,,
325,,,sundance,trunk ltd,,
326,,,c&c california,torn by ronny kobo,,
327,,,mighty fine,josie,,
328,,,belldini,warby parker,,
329,,,attention,monet,,
330,,,paris blues,together,,
331,,,bill blass,victor costa,,
332,,,blu pepper,gottex,,
333,,,giani bernini,soludos,,
334,,,sunny leigh,chann luu,,
335,,,sag harbor,bumble and bumble,,
336,,,michael antonio,rocktape,,
337,,,roulette,katia,,
338,,,bp,sonia rykiel,,
339,,,t.j.maxx,canon,,
340,,,soprano,latique,,
341,,,gloria vanderbilt,fashion junkee,,
342,,,last kiss,salt water sandals by hoy,,
343,,,daniel rainn,bob mackie,,
344,,,industrial cotton,sorel,,
345,,,double zero,horny toad,,
346,,,moulinette soeurs,she and sky,,
347,,,chesley,nyx cosmetics,,
348,,,nautica,chelsea & violet,,
349,,,ice clothing,glamglow,,
350,,,hi-tec,black halo,,
351,,,garage,novella royale,,
352,,,tultex,charles river apparel,,
353,,,eight eight eight,tecnica,,
354,,,deena & ozzy,for joseph,,
355,,,kirra,warner bros.,,
356,,,report collection,jones jeans,,
357,,,pierre dumas,clarisse,,
358,,,benefit cosmetics,daks,,
359,,,citizen,anna kostrova,,
360,,,b. smart,icebreaker,,
361,,,lucca,z cavaricci,,
362,,,alba,casetify,,
363,,,zana di,cambio,,
364,,,young & reckless,devacurl,,
365,,,anvil,endless rose,,
366,,,twisted x,blanqi,,
367,,,stila cosmetics,rails,,
368,,,wallflower,gunne sax,,
369,,,coobie,citron santa monica,,
370,,,the sak,shenanigans,,
371,,,tiana b,jean paul gaultier,,
372,,,lucy activewear,kristen blake,,
373,,,jm collection,lipsense,,
374,,,lily white,t by alexander wang,,
375,,,ambrielle,rusty,,
376,,,dv by dolce vita,191 unlimited,,
377,,,tinseltown,unik,,
378,,,zion rootswear,max and cleo,,
379,,,blanc noir,fantasie,,
380,,,loungefly,,,
381,,,ecko unltd.,,,
382,,,too fast,,,
383,,,ariana grande,,,
384,,,playboy,,,
385,,,relativity,,,
386,,,body glove,,,
387,,,duo maternity,,,
388,,,eclectic products,,,
389,,,paper crane,,,
390,,,stoosh,,,
391,,,le suit,,,
392,,,riders,,,
393,,,rocket dog,,,
394,,,agb,,,
395,,,nana,,,
396,,,rags to raches,,,
397,,,enyce,,,
398,,,new directions,,,
399,,,dr. scholl's,,,
400,,,denim & co.,,,
401,,,famous stars & straps,,,
402,,,kim rogers,,,
403,,,prabal gurung,,,
404,,,m.i.a.,,,
405,,,totes isotoner,,,
406,,,squeeze,,,
407,,,casual corner,,,
408,,,liz & co.,,,
409,,,x,,,
410,,,donna karen,,,
411,,,sebago,,,
412,,,volatile,,,
413,,,joyce leslie,,,
414,,,woman within,,,
415,,,city triangles,,,
416,,,blue asphalt,,,
417,,,gallery,,,
418,,,western chief,,,
419,,,vocal,,,
420,,,duck head,,,
421,,,it's our time,,,
422,,,pleione,,,
423,,,muk luks,,,
424,,,saint tropez west,,,
425,,,carven,,,
426,,,clark's botanicals,,,
427,,,mojo moxy,,,
428,,,madeline stuart,,,
429,,,design history,,,
430,,,jeanne pierre,,,
431,,,r&k originals,,,
432,,,5th & ocean,,,
433,,,fioni clothing,,,
434,,,moa moa,,,
435,,,orvis,,,
436,,,sephora favorites,,,
437,,,fiore,,,
438,,,limited too,,,
439,,,dress barn,,,
440,,,restricted,,,
441,,,zco,,,
442,,,frankie b,,,
443,,,james jeans,,,
444,,,port authority,,,
445,,,raisins,,,
446,,,nicole by nicole miller,,,
447,,,cj banks,,,
448,,,rafaella,,,
449,,,love stitch,,,
450,,,hammer,,,
451,,,axcess,,,
452,,,impressions,,,
453,,,unlisted,,,
454,,,metaphor,,,
455,,,rosetti,,,
456,,,milly,,,
457,,,baublebar,,,
458,,,sketchers,,,
459,,,m by marc bouwer,,,
460,,,connected,,,
461,,,wild diva,,,
462,,,miraclesuit®,,,
463,,,rachel roy,,,
464,,,john paul richard,,,
465,,,earl jeans,,,
466,,,three hearts,,,
467,,,jason maxwell,,,
468,,,koret,,,
469,,,clarks,,,
470,,,playtex,,,
471,,,athletic works,,,
472,,,voodoo vixen,,,
473,,,oilily,,,
474,,,jansport,,,
475,,,seven dials,,,
476,,,aria,,,
477,,,teefury,,,
478,,,beautees,,,
479,,,van heusen,,,
480,,,body central,,,
481,,,lipsy,,,
482,,,westbound,,,
483,,,flying tomato,,,
484,,,baffin,,,
485,,,assets,,,
486,,,wilson,,,
487,,,bravado,,,
488,,,iris,,,
489,,,casio,,,
490,,,ryka,,,
491,,,glo clothing,,,
492,,,teeze me,,,
493,,,rachel pally white label,,,
494,,,mystic,,,
495,,,jennifer moore,,,
496,,,ariya,,,
497,,,carolina colours,,,
498,,,eastland,,,
499,,,three dots,,,
500,,,sisley,,,
501,,,olivia + joy,,,
502,,,larry levine,,,
503,,,capezio,,,
504,,,only mine,,,
505,,,perceptions,,,
506,,,life stride,,,
507,,,izod,,,
508,,,abs by allen schwartz,,,
509,,,romeo & juliet couture,,,
510,,,lamade,,,
511,,,piperlime,,,
512,,,zena,,,
513,,,city chic,,,
514,,,fifth sun,,,
515,,,willi smith,,,
516,,,boutique 9,,,
517,,,saffron rouge,,,
518,,,karen scott,,,
519,,,olivia moon,,,
520,,,style & co,,,
521,,,kenar,,,
522,,,l.a. gear,,,
523,,,lole,,,
524,,,riot society,,,
525,,,sanrio,,,
526,,,mephisto,,,
527,,,dereon,,,
528,,,joan rivers,,,
529,,,a.l.c.,,,
530,,,abercrombie kids,,,
531,,,b.o.c.,,,
532,,,magellan®,,,
533,,,ben sherman,,,
534,,,akira,,,
535,,,mustard seed,,,
536,,,lou & grey,,,
537,,,aqua,,,
538,,,tyr,,,
539,,,denim & supply ralph lauren,,,
540,,,silhouette,,,
541,,,apostrophe,,,
542,,,pure life,,,
543,,,johnny martin,,,
544,,,sharagano,,,
545,,,b. moss,,,
546,,,ella moss,,,
547,,,wish,,,
548,,,tiara international,,,
549,,,dalia,,,
550,,,tangerine,,,
551,,,bare minerals,,,
552,,,route 66,,,
553,,,philosophy,,,
554,,,twisted heart,,,
555,,,unisa,,,
556,,,peter nygard,,,
557,,,clinique du rond,,,
558,,,elomi,,,
559,,,betsey johnson label,,,
560,,,laura scott,,,
561,,,atmosphere,,,
562,,,gibson,,,
563,,,sandro,,,
564,,,bamboo,,,
565,,,redken,,,
566,,,keds,,,
567,,,spy tec,,,
568,,,ultra flirt,,,
569,,,sandra darren,,,
570,,,tripp,,,
571,,,duluth trading company,,,
572,,,smashbox cosmetics,,,
573,,,genone,,,
574,,,audrey brooke,,,
575,,,l.a. blues,,,
576,,,just love,,,
577,,,nancy ganz,,,
578,,,altar'd state,,,
579,,,kate landry,,,
580,,,coogi,,,
581,,,la perla,,,
582,,,ny collection,,,
583,,,allison brittney,,,
584,,,boots,,,
585,,,pretty angel,,,
586,,,baggallini,,,
587,,,prince,,,
588,,,maggy london,,,
589,,,huf,,,
590,,,rubbish,,,
591,,,zeroxposur,,,
592,,,lansinoh,,,
593,,,nintendo,,,
594,,,amazon,,,
595,,,august silk,,,
596,,,olsenboye,,,
597,,,polar pro filters,,,
598,,,lush,,,
599,,,mud pie,,,
600,,,classiques entier,,,
601,,,bakers,,,
602,,,b.tempt'd,,,
603,,,karen millen,,,
604,,,melissa mccarthy,,,
605,,,angelina,,,
606,,,alternative,,,
607,,,braetan,,,
608,,,falls creek,,,
609,,,ck jeans,,,
610,,,just cavalli,,,
611,,,hazel,,,
612,,,dreamgirl,,,
613,,,flax,,,
614,,,sangria,,,
615,,,college edition,,,
616,,,millenium,,,
617,,,grane,,,
618,,,24/7 comfort apparel,,,
619,,,dockers,,,
620,,,larok,,,
621,,,emu,,,
622,,,be wicked!,,,
623,,,foreign exchange,,,
624,,,white mark,,,
625,,,live a little,,,
626,,,hobie,,,
627,,,lat,,,
628,,,kelly & katie,,,
629,,,island escape,,,
630,,,tulle,,,
631,,,delta burke,,,
632,,,shirley of hollywood,,,
633,,,buffalo jeans,,,
634,,,stop staring,,,
635,,,barneys new york,,,
636,,,ulta,,,
637,,,lush clothing,,,
638,,,bailey,,,
639,,,emily ray,,,
640,,,donna bella,,,
641,,,polo jeans co.,,,
642,,,head,,,
643,,,rocawear clothing,,,
644,,,alberto makali,,,
645,,,colin stuart,,,
646,,,liz baker,,,
647,,,kathy ireland,,,
648,,,pearl izumi,,,
649,,,47 brand,,,
650,,,capelli,,,
651,,,american needle,,,
652,,,fenn wright manson,,,
653,,,true grit,,,
654,,,joujou,,,
655,,,dakine,,,
656,,,lei,,,
657,,,crystal doll,,,
658,,,jou jou,,,
659,,,cha cha vente,,,
660,,,copper key,,,
661,,,a wish come true,,,
662,,,oxford,,,
663,,,united states sweaters,,,
664,,,susan lawrence,,,
665,,,flirtitude,,,
666,,,joe & elle,,,
667,,,cathy jean,,,
668,,,jessica howard,,,
669,,,mary kay,,,
670,,,angl,,,
671,,,yoki,,,
672,,,pepe jeans,,,
673,,,austin reed,,,
674,,,anchor blue,,,
675,,,bumpstart,,,
676,,,necessary objects,,,
677,,,highway jeans,,,
678,,,white + warren,,,
679,,,rxb,,,
680,,,indigo brands,,,
681,,,worth,,,
682,,,dennis basso,,,
683,,,arturo chiang,,,
684,,,ocra,,,
685,,,karen kane,,,
686,,,ruby rd.,,,
687,,,sue wong,,,
688,,,clover canyon,,,
689,,,amanda smith,,,
690,,,band of gypsies,,,
691,,,love by design,,,
692,,,bedhead,,,
693,,,p&n,,,
694,,,blair,,,
695,,,october love,,,
696,,,lorna jane,,,
697,,,bershka,,,
698,,,laurel burch,,,
699,,,pierre cardin,,,
700,,,nina,,,
701,,,lancôme,,,
702,,,necessary clothing,,,
703,,,kangol,,,
704,,,lennie for nina leonard,,,
705,,,heelys,,,
706,,,treasure & bond,,,
707,,,scott mcclintock,,,
708,,,monteau,,,
709,,,kingston,,,
710,,,positive attitude,,,
711,,,fever,,,
712,,,pull&bear,,,
713,,,qalo,,,
714,,,laguna beach jeans,,,
715,,,urban behavior,,,
716,,,ashley b,,,
717,,,ping,,,
718,,,mek,,,
719,,,charlie by mattew zink,,,
720,,,grass,,,
721,,,park lane,,,
722,,,lux,,,
723,,,diamond plate,,,
724,,,carolina blues,,,
725,,,tail,,,
726,,,mossy oak,,,
727,,,cathy daniels,,,
728,,,poof!,,,
729,,,ecco bella,,,
730,,,reba,,,
731,,,foley + corinna,,,
732,,,eddie bauer clothing,,,
733,,,blowfish,,,
734,,,u.s. polo assn.,,,
735,,,baltex,,,
736,,,twelfth street by cynthia vincent,,,
737,,,heritage,,,
738,,,seven7,,,
739,,,dc comics,,,
740,,,ccb collection,,,
741,,,deletta,,,
742,,,katie b.,,,
743,,,spenser jeremy,,,
744,,,white mountain,,,
745,,,as u wish,,,
746,,,elliott lucca,,,
747,,,fresh,,,
748,,,fresh produce,,,
749,,,signature,,,
750,,,pretty polly,,,
751,,,hale bob,,,
752,,,jtb,,,
753,,,scrub daddy,,,
754,,,canvas,,,
755,,,osh kosh,,,
756,,,kikit,,,
757,,,scarlett,,,
758,,,slinky brand,,,
759,,,nina leonard,,,
760,,,tracy evans,,,
761,,,sigvaris,,,
762,,,antigua,,,
763,,,jac vanek,,,
764,,,holden,,,
765,,,bloch,,,
766,,,allen b. by allen schwartz,,,
767,,,berek,,,
768,,,alloy,,,
769,,,marco santi,,,
770,,,sigrid olsen,,,
771,,,coast,,,
772,,,jantzen,,,
773,,,capelli of new york,,,
774,,,antik batik,,,
775,,,black poppy,,,
776,,,bath & body works,,,
777,,,dknyc,,,
778,,,batman,,,
779,,,kate hill,,,
780,,,mimi chica,,,
