brands,basics_brand,popular_brand,upper_pop_brand,intermediary_brand,luxury_brand
,,pearhead,,,
,,petit tresor,,,
,,koala baby boutique,,,
,,babies r us infant,,,
,,salt water sandals by hoy,,,
,,bonnie jean,,,
,,bon bebe,,,
,,steve madden,,,
,,hanes,,,
,,kids headquarters,,,
,,asics,,,
,,borrelli,,,
,,music little people,,,
,,city chic,,,
,,arm's reach concepts,,,
,,serta,,,
,,hush puppies,,,
,,baby boom,,,
,,umbro,,,
,,kinderglo,,,
,,atari,,,
,,on the fly,,,
,,ceaco,,,
,,little pim,,,
,,blowfish,,,
,,gildan,,,
,,boogie wipes,,,
,,true religion brand jeans,,,
,,lionel,,,
,,fast lane,,,
,,begin again,,,
,,high sierra,,,
,,home depot,,,
,,dolce vita,,,
,,neatnik,,,
,,kickee pants,,,
