,Data,Total
125,2018-05-28,101
91,2018-05-29,103
180,2018-06-01,113
77,2018-06-02,96
145,2018-06-03,104
102,2018-06-04,95
35,2018-06-05,105
120,2018-06-06,121
224,2018-06-07,112
264,2018-06-08,113
46,2018-06-09,102
173,2018-06-10,95
17,2018-06-11,114
342,2018-06-12,36
273,2018-06-13,117
287,2018-06-14,113
92,2018-06-15,103
113,2018-06-16,92
316,2018-06-17,91
263,2018-06-18,100
137,2018-06-19,103
223,2018-06-20,105
20,2018-06-21,107
190,2018-06-22,91
139,2018-06-23,107
303,2018-06-24,114
19,2018-06-25,103
254,2018-06-26,112
112,2018-06-27,93
242,2018-06-28,95
29,2018-06-29,97
239,2018-07-01,105
199,2018-07-02,91
212,2018-07-03,100
160,2018-07-04,103
181,2018-07-05,89
5,2018-07-06,106
122,2018-07-07,105
152,2018-07-08,114
142,2018-07-09,97
203,2018-07-10,100
141,2018-07-11,95
318,2018-07-12,56
86,2018-07-13,87
108,2018-07-14,95
109,2018-07-15,100
119,2018-07-16,101
184,2018-07-17,112
50,2018-07-18,108
204,2018-07-19,114
150,2018-07-20,113
164,2018-07-21,107
170,2018-07-22,98
23,2018-07-23,109
194,2018-07-24,105
128,2018-07-25,91
259,2018-07-26,103
155,2018-07-27,96
207,2018-07-28,95
312,2018-07-29,91
132,2018-08-01,97
220,2018-08-02,103
225,2018-08-03,98
238,2018-08-04,96
65,2018-08-05,83
67,2018-08-06,108
61,2018-08-07,96
63,2018-08-08,99
37,2018-08-09,93
313,2018-08-10,90
188,2018-08-11,104
325,2018-08-12,51
85,2018-08-13,106
256,2018-08-14,114
57,2018-08-15,100
166,2018-08-16,107
117,2018-08-17,101
44,2018-08-18,101
301,2018-08-19,110
298,2018-08-20,106
255,2018-08-21,96
34,2018-08-22,108
15,2018-08-23,108
265,2018-08-24,112
11,2018-08-25,104
250,2018-08-26,108
98,2018-08-27,89
200,2018-08-28,101
193,2018-08-29,98
302,2018-09-01,100
154,2018-09-02,109
191,2018-09-03,89
111,2018-09-04,106
26,2018-09-05,99
257,2018-09-06,93
70,2018-09-07,122
52,2018-09-08,91
12,2018-09-09,96
306,2018-09-10,93
156,2018-09-11,98
327,2018-09-12,57
71,2018-09-13,88
153,2018-09-14,74
309,2018-09-15,96
133,2018-09-16,108
237,2018-09-17,109
131,2018-09-18,106
27,2018-09-19,110
314,2018-09-20,100
103,2018-09-21,96
189,2018-09-22,105
151,2018-09-23,89
8,2018-09-24,109
276,2018-09-25,105
80,2018-09-26,96
213,2018-09-27,111
317,2018-09-28,85
240,2018-09-29,103
140,2018-10-01,101
48,2018-10-02,91
266,2018-10-03,101
209,2018-10-04,128
33,2018-10-05,100
232,2018-10-06,107
268,2018-10-07,111
210,2018-10-08,100
196,2018-10-09,104
14,2018-10-10,83
146,2018-10-11,86
343,2018-10-12,43
308,2018-10-13,96
148,2018-10-14,105
285,2018-10-15,98
286,2018-10-16,100
299,2018-10-17,90
228,2018-10-18,100
59,2018-10-19,103
269,2018-10-20,99
248,2018-10-21,92
241,2018-10-22,104
2,2018-10-23,103
185,2018-10-24,102
310,2018-10-25,100
284,2018-10-26,110
165,2018-10-27,100
315,2018-10-28,85
295,2018-10-29,95
236,2018-11-01,87
82,2018-11-02,104
55,2018-11-03,97
40,2018-11-04,91
1,2018-11-05,95
97,2018-11-06,111
294,2018-11-07,108
304,2018-11-08,107
205,2018-11-09,103
88,2018-11-10,97
183,2018-11-11,98
345,2018-11-12,49
169,2018-11-13,116
124,2018-11-14,118
182,2018-11-15,104
305,2018-11-16,118
60,2018-11-17,79
283,2018-11-18,84
244,2018-11-19,104
99,2018-11-20,103
16,2018-11-21,88
51,2018-11-22,104
171,2018-11-23,104
261,2018-11-24,94
249,2018-11-25,104
161,2018-11-26,110
39,2018-11-27,108
163,2018-11-28,95
270,2018-11-29,103
47,2018-12-01,96
22,2018-12-02,95
253,2018-12-03,93
38,2018-12-04,95
243,2018-12-05,95
158,2018-12-06,95
41,2018-12-07,112
18,2018-12-08,95
106,2018-12-09,94
231,2018-12-10,109
93,2018-12-11,97
336,2018-12-12,56
332,2018-12-13,45
341,2018-12-14,46
329,2018-12-15,43
331,2018-12-16,61
333,2018-12-17,53
344,2018-12-18,52
338,2018-12-19,40
340,2018-12-20,56
323,2018-12-21,48
339,2018-12-22,44
334,2018-12-23,50
319,2018-12-24,43
330,2018-12-25,40
326,2018-12-26,51
324,2018-12-27,49
328,2018-12-28,61
335,2018-12-29,45
