,Data,Total
232,2018-11-13,69
275,2018-11-14,48
252,2018-11-15,50
129,2018-11-16,60
133,2018-11-17,60
12,2018-11-18,58
123,2018-11-19,56
33,2018-11-20,62
282,2018-11-21,59
157,2018-11-22,55
301,2018-11-23,58
293,2018-11-24,53
185,2018-11-25,61
64,2018-11-26,54
175,2018-11-27,52
188,2018-11-28,47
125,2018-11-29,53
106,2018-12-01,49
93,2018-12-02,60
131,2018-12-03,63
1,2018-12-04,61
118,2018-12-05,56
208,2018-12-06,56
248,2018-12-07,58
287,2018-12-08,55
75,2018-12-09,56
5,2018-12-10,57
53,2018-12-11,49
333,2018-12-12,26
331,2018-12-13,29
323,2018-12-14,30
343,2018-12-15,36
337,2018-12-16,27
329,2018-12-17,21
340,2018-12-18,20
334,2018-12-19,30
327,2018-12-20,29
318,2018-12-21,30
338,2018-12-22,28
325,2018-12-23,43
341,2018-12-24,22
324,2018-12-25,26
326,2018-12-26,36
342,2018-12-27,31
332,2018-12-28,30
345,2018-12-29,26
