,Data,Total
140,2018-06-10,277
225,2018-06-11,277
331,2018-06-12,188
77,2018-06-13,279
145,2018-06-14,283
247,2018-06-15,253
100,2018-06-16,284
113,2018-06-17,327
169,2018-06-18,284
177,2018-06-19,281
224,2018-06-20,305
290,2018-06-21,298
216,2018-06-22,290
207,2018-06-23,300
178,2018-06-24,287
269,2018-06-25,299
66,2018-06-26,276
9,2018-06-27,301
198,2018-06-28,301
250,2018-06-29,274
285,2018-07-01,295
222,2018-07-02,297
102,2018-07-03,293
29,2018-07-04,321
64,2018-07-05,312
163,2018-07-06,289
141,2018-07-07,271
281,2018-07-08,286
114,2018-07-09,287
243,2018-07-10,284
301,2018-07-11,295
338,2018-07-12,173
282,2018-07-13,279
289,2018-07-14,283
315,2018-07-15,271
42,2018-07-16,293
242,2018-07-17,294
74,2018-07-18,293
263,2018-07-19,287
283,2018-07-20,303
305,2018-07-21,272
155,2018-07-22,304
53,2018-07-23,303
39,2018-07-24,291
240,2018-07-25,271
268,2018-07-26,274
219,2018-07-27,286
186,2018-07-28,281
175,2018-07-29,261
170,2018-08-01,295
79,2018-08-02,287
220,2018-08-03,288
252,2018-08-04,285
151,2018-08-05,332
8,2018-08-06,281
72,2018-08-07,276
118,2018-08-08,287
148,2018-08-09,290
310,2018-08-10,285
271,2018-08-11,302
325,2018-08-12,169
143,2018-08-13,277
124,2018-08-14,286
164,2018-08-15,288
287,2018-08-16,281
44,2018-08-17,284
208,2018-08-18,274
239,2018-08-19,285
0,2018-08-20,305
161,2018-08-21,271
296,2018-08-22,302
159,2018-08-23,300
82,2018-08-24,284
62,2018-08-25,300
14,2018-08-26,272
312,2018-08-27,287
246,2018-08-28,287
288,2018-08-29,305
181,2018-09-01,309
147,2018-09-02,270
235,2018-09-03,295
168,2018-09-04,282
85,2018-09-05,295
199,2018-09-06,282
160,2018-09-07,286
248,2018-09-08,274
311,2018-09-09,277
30,2018-09-10,292
149,2018-09-11,301
346,2018-09-12,175
120,2018-09-13,302
95,2018-09-14,274
55,2018-09-15,298
276,2018-09-16,287
227,2018-09-17,292
256,2018-09-18,287
54,2018-09-19,283
291,2018-09-20,287
317,2018-09-21,258
34,2018-09-22,304
173,2018-09-23,288
182,2018-09-24,281
86,2018-09-25,285
167,2018-09-26,281
52,2018-09-27,279
98,2018-09-28,304
295,2018-09-29,272
17,2018-10-01,274
125,2018-10-02,280
251,2018-10-03,284
65,2018-10-04,300
293,2018-10-05,278
132,2018-10-06,272
264,2018-10-07,301
107,2018-10-08,283
195,2018-10-09,307
47,2018-10-10,275
24,2018-10-11,280
322,2018-10-12,186
292,2018-10-13,282
37,2018-10-14,274
294,2018-10-15,276
197,2018-10-16,299
40,2018-10-17,294
13,2018-10-18,248
105,2018-10-19,306
76,2018-10-20,290
49,2018-10-21,288
108,2018-10-22,311
131,2018-10-23,271
298,2018-10-24,302
229,2018-10-25,286
123,2018-10-26,263
46,2018-10-27,295
231,2018-10-28,300
165,2018-10-29,280
121,2018-11-01,286
154,2018-11-02,298
188,2018-11-03,273
99,2018-11-04,276
153,2018-11-05,271
90,2018-11-06,284
241,2018-11-07,303
215,2018-11-08,300
307,2018-11-09,288
3,2018-11-10,290
254,2018-11-11,283
319,2018-11-12,199
10,2018-11-13,284
103,2018-11-14,283
201,2018-11-15,304
45,2018-11-16,292
284,2018-11-17,300
309,2018-11-18,290
26,2018-11-19,298
185,2018-11-20,303
206,2018-11-21,289
237,2018-11-22,283
16,2018-11-23,294
15,2018-11-24,297
230,2018-11-25,295
150,2018-11-26,312
213,2018-11-27,276
115,2018-11-28,279
33,2018-11-29,291
133,2018-12-01,294
278,2018-12-02,263
233,2018-12-03,297
116,2018-12-04,282
93,2018-12-05,273
31,2018-12-06,300
183,2018-12-07,301
226,2018-12-08,283
189,2018-12-09,301
274,2018-12-10,294
228,2018-12-11,280
318,2018-12-12,153
332,2018-12-13,169
328,2018-12-14,169
335,2018-12-15,188
337,2018-12-16,176
336,2018-12-17,166
343,2018-12-18,163
342,2018-12-19,175
326,2018-12-20,180
340,2018-12-21,168
324,2018-12-22,176
323,2018-12-23,163
345,2018-12-24,163
333,2018-12-25,148
329,2018-12-26,165
339,2018-12-27,167
321,2018-12-28,179
330,2018-12-29,166
