,Data,Total
89,2018-05-03,130
148,2018-05-04,142
255,2018-05-05,125
160,2018-05-06,132
158,2018-05-07,133
294,2018-05-08,140
34,2018-05-09,155
198,2018-05-10,133
79,2018-05-11,141
340,2018-05-12,75
274,2018-05-13,144
253,2018-05-14,120
226,2018-05-15,134
40,2018-05-16,140
249,2018-05-17,144
17,2018-05-18,145
95,2018-05-19,127
82,2018-05-20,147
175,2018-05-21,129
202,2018-05-22,130
67,2018-05-23,126
126,2018-05-24,140
80,2018-05-25,143
140,2018-05-26,129
262,2018-05-27,143
88,2018-05-28,125
24,2018-05-29,152
231,2018-06-01,128
103,2018-06-02,147
124,2018-06-03,120
2,2018-06-04,165
9,2018-06-05,143
229,2018-06-06,147
85,2018-06-07,145
73,2018-06-08,128
116,2018-06-09,157
225,2018-06-10,125
101,2018-06-11,139
324,2018-06-12,69
147,2018-06-13,140
211,2018-06-14,135
312,2018-06-15,127
96,2018-06-16,129
8,2018-06-17,138
248,2018-06-18,154
220,2018-06-19,141
25,2018-06-20,136
4,2018-06-21,133
219,2018-06-22,134
28,2018-06-23,134
285,2018-06-24,136
134,2018-06-25,122
22,2018-06-26,127
63,2018-06-27,136
143,2018-06-28,137
1,2018-06-29,143
149,2018-07-01,134
3,2018-07-02,136
315,2018-07-03,134
190,2018-07-04,146
100,2018-07-05,146
179,2018-07-06,129
178,2018-07-07,126
62,2018-07-08,143
98,2018-07-09,146
245,2018-07-10,139
162,2018-07-11,154
335,2018-07-12,76
192,2018-07-13,145
290,2018-07-14,146
75,2018-07-15,131
91,2018-07-16,137
10,2018-07-17,150
223,2018-07-18,111
218,2018-07-19,128
289,2018-07-20,141
206,2018-07-21,149
303,2018-07-22,130
32,2018-07-23,156
276,2018-07-24,127
200,2018-07-25,163
313,2018-07-26,144
306,2018-07-27,140
120,2018-07-28,146
36,2018-07-29,126
224,2018-08-01,152
136,2018-08-02,127
233,2018-08-03,117
186,2018-08-04,131
6,2018-08-05,151
280,2018-08-06,122
42,2018-08-07,146
295,2018-08-08,160
214,2018-08-09,134
256,2018-08-10,153
273,2018-08-11,133
325,2018-08-12,82
194,2018-08-13,130
163,2018-08-14,142
236,2018-08-15,129
301,2018-08-16,130
86,2018-08-17,146
53,2018-08-18,131
221,2018-08-19,136
29,2018-08-20,130
68,2018-08-21,128
110,2018-08-22,142
146,2018-08-23,125
208,2018-08-24,139
205,2018-08-25,147
18,2018-08-26,133
307,2018-08-27,129
60,2018-08-28,140
281,2018-08-29,134
181,2018-09-01,144
193,2018-09-02,147
118,2018-09-03,134
97,2018-09-04,150
242,2018-09-05,138
204,2018-09-06,150
177,2018-09-07,138
263,2018-09-08,143
43,2018-09-09,152
310,2018-09-10,151
152,2018-09-11,144
334,2018-09-12,68
84,2018-09-13,147
207,2018-09-14,129
309,2018-09-15,134
296,2018-09-16,123
133,2018-09-17,144
145,2018-09-18,139
252,2018-09-19,135
266,2018-09-20,134
304,2018-09-21,122
121,2018-09-22,149
291,2018-09-23,142
109,2018-09-24,149
188,2018-09-25,153
238,2018-09-26,139
171,2018-09-27,133
247,2018-09-28,135
284,2018-09-29,130
57,2018-10-01,148
235,2018-10-02,124
257,2018-10-03,133
277,2018-10-04,158
244,2018-10-05,127
282,2018-10-06,153
241,2018-10-07,127
12,2018-10-08,146
115,2018-10-09,139
174,2018-10-10,142
187,2018-10-11,143
318,2018-10-12,71
41,2018-10-13,139
264,2018-10-14,142
44,2018-10-15,134
203,2018-10-16,136
104,2018-10-17,146
240,2018-10-18,152
139,2018-10-19,155
166,2018-10-20,146
278,2018-10-21,138
69,2018-10-22,141
299,2018-10-23,141
38,2018-10-24,128
308,2018-10-25,126
170,2018-10-26,131
153,2018-10-27,129
90,2018-10-28,142
66,2018-10-29,139
138,2018-11-01,147
39,2018-11-02,134
258,2018-11-03,140
108,2018-11-04,141
107,2018-11-05,137
234,2018-11-06,135
259,2018-11-07,144
64,2018-11-08,124
113,2018-11-09,151
45,2018-11-10,143
271,2018-11-11,126
321,2018-11-12,64
172,2018-11-13,133
70,2018-11-14,142
114,2018-11-15,137
168,2018-11-16,129
131,2018-11-17,136
287,2018-11-18,146
215,2018-11-19,130
305,2018-11-20,168
81,2018-11-21,147
111,2018-11-22,155
7,2018-11-23,135
300,2018-11-24,143
180,2018-11-25,126
161,2018-11-26,138
292,2018-11-27,134
176,2018-11-28,141
311,2018-11-29,126
51,2018-12-01,130
164,2018-12-02,140
228,2018-12-03,157
156,2018-12-04,130
157,2018-12-05,134
83,2018-12-06,122
167,2018-12-07,149
183,2018-12-08,153
243,2018-12-09,125
227,2018-12-10,162
286,2018-12-11,142
326,2018-12-12,80
328,2018-12-13,75
342,2018-12-14,71
336,2018-12-15,62
339,2018-12-16,64
344,2018-12-17,72
343,2018-12-18,56
341,2018-12-19,70
330,2018-12-20,75
319,2018-12-21,79
320,2018-12-22,75
332,2018-12-23,76
346,2018-12-24,67
345,2018-12-25,75
322,2018-12-26,76
327,2018-12-27,84
333,2018-12-28,66
337,2018-12-29,82
