,Data,Total
287,2018-06-05,351
58,2018-06-06,331
21,2018-06-07,321
267,2018-06-08,338
148,2018-06-09,326
101,2018-06-10,332
114,2018-06-11,349
346,2018-06-12,161
99,2018-06-13,340
104,2018-06-14,345
11,2018-06-15,331
169,2018-06-16,362
132,2018-06-17,327
144,2018-06-18,332
92,2018-06-19,343
245,2018-06-20,315
83,2018-06-21,363
106,2018-06-22,335
55,2018-06-23,308
201,2018-06-24,363
160,2018-06-25,359
62,2018-06-26,358
180,2018-06-27,343
94,2018-06-28,356
168,2018-06-29,347
209,2018-07-01,357
69,2018-07-02,363
294,2018-07-03,327
236,2018-07-04,308
109,2018-07-05,351
47,2018-07-06,328
230,2018-07-07,353
307,2018-07-08,366
199,2018-07-09,347
269,2018-07-10,342
123,2018-07-11,332
319,2018-07-12,162
19,2018-07-13,341
258,2018-07-14,346
232,2018-07-15,338
204,2018-07-16,355
289,2018-07-17,326
17,2018-07-18,342
111,2018-07-19,346
166,2018-07-20,341
255,2018-07-21,334
281,2018-07-22,347
10,2018-07-23,332
49,2018-07-24,351
25,2018-07-25,337
314,2018-07-26,336
228,2018-07-27,337
128,2018-07-28,375
214,2018-07-29,362
249,2018-08-01,340
105,2018-08-02,348
91,2018-08-03,376
115,2018-08-04,352
150,2018-08-05,346
157,2018-08-06,367
183,2018-08-07,342
126,2018-08-08,346
315,2018-08-09,346
134,2018-08-10,329
238,2018-08-11,336
320,2018-08-12,168
24,2018-08-13,340
37,2018-08-14,323
20,2018-08-15,333
22,2018-08-16,327
248,2018-08-17,325
206,2018-08-18,343
176,2018-08-19,356
12,2018-08-20,363
210,2018-08-21,339
265,2018-08-22,326
72,2018-08-23,345
81,2018-08-24,336
73,2018-08-25,365
317,2018-08-26,321
226,2018-08-27,316
284,2018-08-28,332
280,2018-08-29,336
159,2018-09-01,344
156,2018-09-02,335
44,2018-09-03,322
178,2018-09-04,359
181,2018-09-05,371
297,2018-09-06,345
98,2018-09-07,348
186,2018-09-08,349
124,2018-09-09,328
71,2018-09-10,343
239,2018-09-11,328
318,2018-09-12,172
268,2018-09-13,331
85,2018-09-14,322
191,2018-09-15,334
74,2018-09-16,356
253,2018-09-17,356
218,2018-09-18,362
187,2018-09-19,356
151,2018-09-20,341
223,2018-09-21,342
222,2018-09-22,348
80,2018-09-23,358
196,2018-09-24,334
221,2018-09-25,356
121,2018-09-26,346
293,2018-09-27,330
254,2018-09-28,333
312,2018-09-29,357
135,2018-10-01,338
278,2018-10-02,357
247,2018-10-03,380
119,2018-10-04,325
53,2018-10-05,336
237,2018-10-06,343
0,2018-10-07,361
173,2018-10-08,336
67,2018-10-09,334
300,2018-10-10,337
182,2018-10-11,340
335,2018-10-12,189
6,2018-10-13,366
27,2018-10-14,343
34,2018-10-15,352
46,2018-10-16,325
45,2018-10-17,353
220,2018-10-18,348
1,2018-10-19,312
110,2018-10-20,328
177,2018-10-21,376
4,2018-10-22,318
259,2018-10-23,312
107,2018-10-24,341
256,2018-10-25,345
285,2018-10-26,347
75,2018-10-27,347
225,2018-10-28,316
8,2018-10-29,358
153,2018-11-01,354
116,2018-11-02,320
15,2018-11-03,339
82,2018-11-04,344
194,2018-11-05,355
130,2018-11-06,333
32,2018-11-07,325
296,2018-11-08,349
185,2018-11-09,324
79,2018-11-10,335
276,2018-11-11,348
332,2018-11-12,178
243,2018-11-13,337
161,2018-11-14,349
31,2018-11-15,375
93,2018-11-16,384
23,2018-11-17,353
215,2018-11-18,329
291,2018-11-19,337
235,2018-11-20,340
96,2018-11-21,337
213,2018-11-22,348
136,2018-11-23,336
76,2018-11-24,356
262,2018-11-25,334
84,2018-11-26,344
246,2018-11-27,371
310,2018-11-28,342
231,2018-11-29,322
118,2018-12-01,356
295,2018-12-02,352
263,2018-12-03,336
164,2018-12-04,337
2,2018-12-05,358
68,2018-12-06,354
264,2018-12-07,317
240,2018-12-08,340
241,2018-12-09,317
203,2018-12-10,350
292,2018-12-11,328
338,2018-12-12,153
341,2018-12-13,188
327,2018-12-14,211
331,2018-12-15,169
326,2018-12-16,159
342,2018-12-17,162
339,2018-12-18,182
340,2018-12-19,190
322,2018-12-20,180
343,2018-12-21,173
330,2018-12-22,170
324,2018-12-23,178
344,2018-12-24,169
333,2018-12-25,189
337,2018-12-26,166
328,2018-12-27,172
329,2018-12-28,181
336,2018-12-29,172
