,Data,Total
91,2018-04-21,1047
216,2018-04-22,1062
310,2018-04-23,1014
51,2018-04-24,1023
189,2018-04-25,1037
264,2018-04-26,1082
166,2018-04-27,1021
276,2018-04-28,1037
136,2018-04-29,1041
215,2018-05-01,1070
298,2018-05-02,1070
7,2018-05-03,1038
235,2018-05-04,1043
312,2018-05-05,1028
79,2018-05-06,1063
297,2018-05-07,1047
62,2018-05-08,1049
11,2018-05-09,1025
48,2018-05-10,1064
52,2018-05-11,1066
338,2018-05-12,605
179,2018-05-13,1077
34,2018-05-14,1068
231,2018-05-15,1035
278,2018-05-16,1033
41,2018-05-17,1033
205,2018-05-18,1053
260,2018-05-19,1061
246,2018-05-20,1074
77,2018-05-21,1058
74,2018-05-22,1042
165,2018-05-23,1067
299,2018-05-24,1077
252,2018-05-25,1077
117,2018-05-26,1016
127,2018-05-27,1083
12,2018-05-28,1018
242,2018-05-29,1002
226,2018-06-01,1024
14,2018-06-02,1063
227,2018-06-03,1029
234,2018-06-04,1046
212,2018-06-05,1053
304,2018-06-06,1103
53,2018-06-07,1022
271,2018-06-08,1052
174,2018-06-09,1062
50,2018-06-10,1048
102,2018-06-11,1035
341,2018-06-12,603
110,2018-06-13,1072
284,2018-06-14,1064
19,2018-06-15,1056
308,2018-06-16,1073
20,2018-06-17,1069
118,2018-06-18,997
76,2018-06-19,1074
85,2018-06-20,1035
239,2018-06-21,1068
57,2018-06-22,1078
15,2018-06-23,1091
222,2018-06-24,1063
26,2018-06-25,1037
64,2018-06-26,1113
47,2018-06-27,1045
185,2018-06-28,1058
154,2018-06-29,1043
316,2018-07-01,1072
285,2018-07-02,1033
314,2018-07-03,1054
63,2018-07-04,1075
92,2018-07-05,1036
257,2018-07-06,1015
139,2018-07-07,1035
194,2018-07-08,1029
39,2018-07-09,1055
306,2018-07-10,1050
171,2018-07-11,1073
329,2018-07-12,609
187,2018-07-13,1039
272,2018-07-14,1084
225,2018-07-15,1036
141,2018-07-16,1046
296,2018-07-17,1038
140,2018-07-18,1020
25,2018-07-19,1057
68,2018-07-20,1061
49,2018-07-21,1025
37,2018-07-22,1052
173,2018-07-23,1104
261,2018-07-24,1050
44,2018-07-25,1070
128,2018-07-26,990
134,2018-07-27,1053
162,2018-07-28,1106
169,2018-07-29,1059
155,2018-08-01,1093
98,2018-08-02,1059
245,2018-08-03,1055
130,2018-08-04,1028
159,2018-08-05,1085
167,2018-08-06,1058
13,2018-08-07,1067
107,2018-08-08,1031
124,2018-08-09,1086
218,2018-08-10,1056
2,2018-08-11,1045
327,2018-08-12,623
97,2018-08-13,1099
81,2018-08-14,1014
75,2018-08-15,1012
223,2018-08-16,1040
132,2018-08-17,1068
24,2018-08-18,1030
160,2018-08-19,1049
253,2018-08-20,1048
201,2018-08-21,1038
105,2018-08-22,1034
99,2018-08-23,1082
109,2018-08-24,1045
151,2018-08-25,1059
18,2018-08-26,1035
120,2018-08-27,1040
142,2018-08-28,1040
106,2018-08-29,1027
208,2018-09-01,1026
256,2018-09-02,1089
38,2018-09-03,1058
291,2018-09-04,1022
178,2018-09-05,1077
254,2018-09-06,1071
293,2018-09-07,1037
112,2018-09-08,1027
94,2018-09-09,1036
66,2018-09-10,1042
121,2018-09-11,1046
344,2018-09-12,596
220,2018-09-13,1017
32,2018-09-14,1038
209,2018-09-15,1052
45,2018-09-16,1024
241,2018-09-17,1063
280,2018-09-18,1031
123,2018-09-19,1101
301,2018-09-20,988
200,2018-09-21,1056
108,2018-09-22,1030
292,2018-09-23,1013
73,2018-09-24,1086
113,2018-09-25,1109
268,2018-09-26,1056
230,2018-09-27,1062
273,2018-09-28,1041
180,2018-09-29,1079
277,2018-10-01,1072
144,2018-10-02,1032
133,2018-10-03,1038
36,2018-10-04,1052
192,2018-10-05,1031
126,2018-10-06,1056
251,2018-10-07,1034
250,2018-10-08,1068
243,2018-10-09,1057
188,2018-10-10,1020
183,2018-10-11,1093
328,2018-10-12,611
262,2018-10-13,1055
78,2018-10-14,1062
58,2018-10-15,1036
149,2018-10-16,1072
6,2018-10-17,1081
248,2018-10-18,1036
60,2018-10-19,1015
275,2018-10-20,1075
27,2018-10-21,1080
90,2018-10-22,1028
86,2018-10-23,1016
0,2018-10-24,1041
158,2018-10-25,1064
287,2018-10-26,1058
311,2018-10-27,1035
186,2018-10-28,1038
42,2018-10-29,1071
54,2018-11-01,1059
152,2018-11-02,1099
56,2018-11-03,1065
146,2018-11-04,1113
16,2018-11-05,1054
196,2018-11-06,1078
33,2018-11-07,1098
263,2018-11-08,1056
210,2018-11-09,1011
61,2018-11-10,1040
190,2018-11-11,1039
331,2018-11-12,571
161,2018-11-13,1051
138,2018-11-14,1068
135,2018-11-15,1076
279,2018-11-16,1054
221,2018-11-17,1048
31,2018-11-18,1034
147,2018-11-19,1089
236,2018-11-20,1050
114,2018-11-21,1100
148,2018-11-22,1049
29,2018-11-23,1011
247,2018-11-24,1038
82,2018-11-25,1058
168,2018-11-26,1072
184,2018-11-27,1007
84,2018-11-28,1070
4,2018-11-29,1042
8,2018-12-01,1063
270,2018-12-02,1020
224,2018-12-03,1054
217,2018-12-04,1043
103,2018-12-05,1065
244,2018-12-06,1075
232,2018-12-07,1067
83,2018-12-08,1006
206,2018-12-09,1046
294,2018-12-10,1066
150,2018-12-11,1061
319,2018-12-12,581
345,2018-12-13,595
324,2018-12-14,576
330,2018-12-15,597
335,2018-12-16,583
326,2018-12-17,600
343,2018-12-18,619
320,2018-12-19,580
333,2018-12-20,610
321,2018-12-21,640
346,2018-12-22,606
332,2018-12-23,614
336,2018-12-24,613
339,2018-12-25,588
322,2018-12-26,592
334,2018-12-27,583
325,2018-12-28,620
337,2018-12-29,602
